Comment;VALUE
Bangga kuliah di Prodi Ilmu Hukum Undiksha;POSITIF
Bangga menjadi bagian dari Keluarga Prodi Ilmu Hukum Undiksha...mari join bersama kami;POSITIF
Prodi Ilmu Hukum Undiksha luar biasa sekali;POSITIF
mantap ilmu hukum;POSITIF
Yukk kuliah di ilmu hukum undiksha ajaa;POSITIF
"Prodi ilmu hukum undiksha terbaik di undiksha,saya alumni ilmu hukum undiksha dan sampai saat ini ilmu hukum undiksha berkembang sangat cepat dan baik,  saya rekomendasi banget pilih prodi ilmu hukum undiksha dan tidak perlu ragu kenapa, karena dosen"" pengajarnya sangat kompeten, suasana kuliah yg interaktif dan melahirkan mahasiswa"" berprestasi tiap tahunnya dan mampu bersaing ke kancang internasional serta lulusannya mampu bersaing di dunia kerja. #ilmuhukumundiksha #fiatjustitia #holdlawindependenceday ????";POSITIF
Tunggu apa lagi, yuk bergabung bersama kami di Prodi Ilmu Hukum Undiksha ;POSITIF
gass daftar di prodi ilmu hukum undiksha!!!;POSITIF
Yuk segera daftar dan jadi bagian Prodi Ilmu Hukum Undiksha;POSITIF
Mari bergabung di prodi ilmu hukum ;POSITIF
Gaada lagi alasan ragu daftar di prodi ilmu hukum undiksha. Yukk cuss daftar guys! Jangan sampe nyesel karena kelamaan mikir wkwk;POSITIF
Yuk daftar prodi ilmu hukum undiksha;POSITIF
Semoga lolos di undiksha ;POSITIF
Anak pertama sy kuliah di Undhiksa, semoga tahun ini adiknya lolos kuliah di Undhiksa juga, astungkara;POSITIF
Semoga bisa bergabung di undiksha;POSITIF
Semoga saya lolos di undiksha aamiin;POSITIF
Keren Undiksha;POSITIF
FOK JAYA!!! Bangga pernah jadi mahasiswa UNDIKSHA.;POSITIF
Bangga menjadi alumni mahasiswi undiksha.... Jaya undiksha q...;POSITIF
Senanglah diri ini....pernah jadi bagian di dalam keluarga besar Undiksha…;POSITIF
Selamat sudah mengharumkan nama undiksha;POSITIF
Kampus ku keren banget;POSITIF
Fasilitas tirta ganesha juga inovasi teknologi yg keren;POSITIF
undiksha mantap keren banget;POSITIF
Yaaa udah mantap kali memang undiksha ini;POSITIF
Keren undiksha;POSITIF
Semoga mahasiswa Undiksha bisa terus menciptakan dan menghasilkan inovasi baru;POSITIF
Wowww... Keren Undiksha;POSITIF
Untuk pengabdian kemasyarakat undiksha memang the best;POSITIF
Undiksha jaya;POSITIF
Mantapp undiksha..;POSITIF
Bangga jadi warga Undiksha;POSITIF
Undiksha jaya;POSITIF
Undiksha jaya;POSITIF
Undiksha keren;POSITIF
Undiksha jaya;POSITIF
Sngat keren dan mengispirasi sekali untuk masyarakat kalangan menengah trutama sektor pertanian dengan program dan inovasi yg dikembangkan dri Undiksha Undiksha Jaya ;POSITIF
Mantap undiksha;POSITIF
Semangat terus maju;POSITIF
Undiksha semakin maju saja dibawah pimpinan prof lasmawan;POSITIF
Bismillah, terima aku undiksha jadi mahasiswa mu;POSITIF
Bismillah semoga lolos di undiksha ;POSITIF
Keren banget.. Undiksha jaya;POSITIF
Terima Kasih Banyak Pak Semoga Bapak Sehat Selalu..;POSITIF
Mantap,,,semoga semakin jaya;POSITIF
Keren, aku bangga menjadi bagianmu Undiksha;POSITIF
bangga bagian Undiksha 2021 ;POSITIF
Bangga pernah menimba ilmu d UNDIKSHA;POSITIF
Semoga semakin maju dalam mencetak sumber daya manusia yang kompeten dan dapat memberikan sumbangsih terhadap kemajuan bangsa.;POSITIF
Membanggakan sekali;POSITIF
Mantap, undiksa;POSITIF
Keren ,, almamaterku , undiksha ;POSITIF
Mantap Undiksha.. sukses selalu ;POSITIF
Acara menarik. Narasumbernya juga mantap. Maju Undiksha;POSITIF
Acara yg keren yg dapat membuat pemuda Indonesia menjadi pemuda yg hebat, kuat, dan berkarakter;POSITIF
Semoga bisa mengajak pemuda indonesia untuk bangkit dan maju melawan covid-19;POSITIF
Keren Semoga banyak generasi muda yang mendapat inspirasi dg diselenggarakannya acara ini Undiksha Jaya!!!;POSITIF
Acara Mantap, Mari bergabung menjadi pemuda tangguh untuk Undiksha unggul.;POSITIF
Acara yang bagus, inspirasi bagi kami untuk mengajak pemuda Indonesia bangkit;POSITIF
Undiksha luar biasa. Semoga acara ini mampu membangkitkan semangat generasi muda untuk Indonesia bangkit.;POSITIF
Undiksha hebat,  luar biasa, semoga melalui kegiatan ini, mampu menjadikan generasi muda yang kreatif dan inovatif di masa pandemi saat ini;POSITIF
Mantap.undiksha salut.sy juga alumni th 2000;POSITIF
Terimakasih undiksha;POSITIF
UNDIKSHA NGASIH KEJUTAN DI HARI RAYA INI DENGAN MEMBERI KUOTA 8 GB ;POSITIF
Keren..Semangat Undiksha, semangat kebersaman dalam keharmonian..;POSITIF
Undiksha keren ..;POSITIF
Bangga, keren banget;POSITIF
Ingin sekali kuliah di undiksha,,,semoga sbmptn tahun ini dapat hasil maksimal;POSITIF
Terimakasih banyak undiksha ;POSITIF
baik banget sih kampusku ;POSITIF
suksma undiksha, sangat membantu;POSITIF
terimakasih undiksha;POSITIF
Terimakasih Undiksha, terimakasih semua pihak.;POSITIF
Makasi Undiksha, cukup membantu kalangan mahasiswa tingkat akhir nyari bahan referensi dan download artikal ;POSITIF
Terimakasih Undiksha dan Telkomsel ;POSITIF
Terimakasih Undiksha;POSITIF
Terimakasih Undiksha;POSITIF
Sangat membantu, TerimaKasih UNDIKSHA ;POSITIF
Suksme setidaknya dengan bantuan ini dapat memotivasi belajar mahasiswa. Bersyukur sekali atas bantuan yang telah diberikan. Astungkare berguna untuk kami agar lebih mudah mengakses dan mengkuti kuliah onlinenya. Terimakasih bapak rektor dan wakil²nya. Semoga bencana ini segera berakhir agar dapat menjalani aktifitas seperti biasa.????;POSITIF
Terima kasih Undiksha lumayan buat upload tugas;POSITIF
Biasa,, universitas terbaik.. Pasti aja ada yang iri, dan mulai menyebar berita hoax, agar reputasi menurun;POSITIF
Turut berbangga hati , semoga selalu jaya ;POSITIF
Jayaa selalu FK Undiksha, berkompetisi melalui prestasi ;POSITIF
Turut bangga sivitas akademika;POSITIF
Keren.  Undiksa walaupun FK nya baru tapi prestasinya mantap.  Utk mahasiswa yg mewakili harus diberikan apresiasi sbg motivasi. Sekali lagi selamat utk Undiksa;POSITIF
Mantap keren FK...Jaya FK..Kata Undiksha Darat..laut..udara...selamat buat mahasiswa FK...;POSITIF
Semoga menular semangat prestasinya kpd mahasiswa yg lain;POSITIF
Bangga jdi bagian undiksha;POSITIF
Selamat, Undiksha Jaya;POSITIF
Mantap infonya;POSITIF
Scaning dulu pastinya ya min.. waahh alhmdulilah bisa legalisir online;POSITIF
Hebat undiksa.pak rektor dosen pembimbing saya waktu kuliah di undiksha;POSITIF
UNDIKSHA.... JAYA!!!;POSITIF
Semangat......Undiksha Juara.;POSITIF
Selamat Tim LPTK Cup Undiksha 2019;POSITIF
Semangat terus undiksha;POSITIF
Happy birthday Bapak rektor, semoga panjang umur, sehat selalu;POSITIF
Semoga kisah haru Bapak pimpinan menginspirasi dan membakar semangat mahasiswa kita. Bagaimnapun latar belakang ekonomi keluarga kita, pasti ada kesempatan menjadi seseorang yg sukses dalam hidup semagat adik2 mahasiswa!! Salam harmoni.;POSITIF
semoga Sukses dan Menjadi Orang Yang Berguna Buat Buleleng dan Bangsa;POSITIF
undiksha jaya;POSITIF
Bangaaa!! salam harmoni;POSITIF
Mantap pak rektor.. saya Alumni mendukung kebijaksanaan bapak. Bukan berarti lemah. Ini mencerminkan sebuah lembaga yang memiliki arah jelas. Apalagi bergerak di bidang kependidikan sudah tentu harus bijaksana dalam pengambilan keputusan. Undiksha Jaya. Hidup MAHASISWA..;POSITIF
Saya sangat setuju dgn pak rektor;POSITIF
Sangat setuju,, ini yg sy harapkan;POSITIF
sepakat. sering saya katakan menjadi aktivis tidak hanya modal suara yang lantang tapi pemikiran pemikiran lantang panjang serta mengerti kenapa harus menyuarakan itu.;POSITIF
Undiksha semakin hebat! Namun kualitas output juga harus unggul, karena persaingan tak sebatas luasnya daun kelor. Semoga almamater tercinta semakin maju.;POSITIF
Semoga lancar dan sukses;POSITIF
UNDIKSHA JAYA!!!;POSITIF
Undiksha Jaya... bangga sebagai alumni…;POSITIF
Selamat atas prestasinya....saya pribadi sangat bangga dengan hasil yg diperoleh....semoga tuhan selalu memberkati dalam perjuangan dimana pun itu.......indonesia jaya undiksha jaya;POSITIF
Undiksha jaya;POSITIF
Undiksha jaya;POSITIF
Sukses selalu undkisha bali;POSITIF
Selamat terpilih kembali Bpk Prof. Nyoman Jampel ..semoga tercapai semua harapan dan tujuan Undiksha.;POSITIF
Sukses selalu undiksha;POSITIF
Selamat Bapak semoga menjadi pemimpin yang adil dan jujur dan dicintai oleh semua mahasiswa undiksha;POSITIF
Mantap undiksha;POSITIF
Selamat bpk. Semoga mhasiswa lebih sering bertemu bpk rektornya dan bertegur sapa.;POSITIF
Selamat pak.... Sukses jaya trus... Ingat mahasiswa lama.  Sdh sukses semua;POSITIF
Wahh jadi pengen kuliah di undiksha;POSITIF
Wow, Undiksha makin keren...;POSITIF
Undiksha jaya;POSITIF
Undiksha Jaya;POSITIF
Jaya selalu;POSITIF
Alhamdulillah, keren ya;POSITIF
Mashaa Allah Undiksha.. Keren;POSITIF
Selamat Undiksha, jaya selalu;POSITIF
Undiksha Jaya ;POSITIF
Wow... Mantap betul Undiksha... Selamat dan sukses...;POSITIF
Selamat untuk semuanya;POSITIF
Selamat undiksha;POSITIF
Selamat dan sukses selalu Almamaterku ;POSITIF
Selamat kepada UNDIKSHA semoga semakin Jaya;POSITIF
Maju terus Undiksha, jaya selalu;POSITIF
Congrats buat kampus impian makin jaya, semoga bisa jadi maba tahun ini;POSITIF
Undiksha makin  jaya proud;POSITIF
Semoga proses asesmen lapangan akreditasi Undiksha berjalan lancar dan sukses untuk akreditasi Undiksha Unggul.;POSITIF
Undiksha Jaya. Bravo FK Undiksha;POSITIF
Mantap..ayo kuliah diUndiksha;POSITIF
Selamat dan sukses selalu untuk undiksha;POSITIF
Pengen saya kuliah di undiksa;POSITIF
Jangan lupakan Jurusan Kebidanan, supaya lebih baik lagi. Terimakasih dan selamat ya buat yg membanggakan undiksha;POSITIF
Selamat utk undiksha semoga semakin jaya amin...;POSITIF
Top sangat informatif;POSITIF
Semangat..undiksha;POSITIF
Makasih undiksha.... Salam anak geografi..;POSITIF
Undiksha jaya;POSITIF
Semoga semakin jaya undiksha dan geografi mantap....;POSITIF
Undiksha Keren..;POSITIF
Terimakasih. Sesuai dengan pernyataan Bapak Bupati, Pemkab Buleleng akan terus mendukung Undiksha demi kemajuan pendidikan di Buleleng dan juga mewujudkan Kota Singaraja sebagai kota pendidikan;POSITIF
Terimakasih min, salam pemilih cerdas. Undiksha;POSITIF
Mantap undikshaku;POSITIF
Semoga bisa bergabung di Undiksha;POSITIF
Wah keren bangga sekali;POSITIF
bagus sih kalo ada Fakultas Pertanian;POSITIF
Suka sama pengambilan gambarnya kayak video dokumenter si bolang ;POSITIF
Mantap,semoga semakin jaya;POSITIF
Keren, aku bangga menjadi bagianmu Undiksha;POSITIF
Semoga 2023 bisa masuk undiksha pengen kuliah dibali;POSITIF
Bangga gak, bangga gak, bangga lah masa enggak;POSITIF
bangga bagian Undiksha 2021;POSITIF
Bangga pernah menimba ilmu d UNDIKSHA;POSITIF
Puji Tuhan lolos Pendidikan Fisika UNDIKSHA;POSITIF
Puji Tuhan Lolos Pendidikan Teknologi Informatika UNDIKSHA;POSITIF
Wow..selamat. ikut bangga.;POSITIF
Terima kasih undiksha;POSITIF
Jayalah Undiksha;POSITIF
Puji Tuhan aku keterima di ..... Semoga kita semua yang berkomentar menjadi teman baik ya;POSITIF
Alhamdulillah saya keterima di undiksha,jurusan pendidikan kimia;POSITIF
Alhamdulillah saya diterima di kampus ini, mohon bimbingannya ya kakak;POSITIF
Alhamdulillah lolos, Maba Pendidikan Teknik Informatika mana suaranya kenalan kuy;POSITIF
Selamat buat bu wayan giri adnyani sudah mendapat tempat sekretaris mentri hal yg luar biasa undiksha memang unggul dalam mencetak SDM;POSITIF
Harapan saya terkabulkan dari dulu berharap ga boleh online aja ya akhirnya terjwb syudah;POSITIF
mantap pak rektor;POSITIF
Undiksha Jaya... bangga sebagai alumni... ;POSITIF
Semua prodi akan menyusul akreditasi A sepertinya, tetapi mohon untuk lembaga fasilitasi prodi harus sesuai standarisasi akreditasi A.;POSITIF
segera daftar;NETRAL
Mari bergabung;NETRAL
pesertanya untuk siapa saja ya?;NETRAL
Ini pesertanya khusus yang  mahasiswa atau bisa calon mahasiswa kak?;NETRAL
Mantap, mari berdiskusi untuk beraksi;NETRAL
Satu jiwa;NETRAL
Mantap mari bergabung;NETRAL
ayo bergabung;NETRAL
Min posting tentang jurusan pendidikan vokasinseni kuliner dong. Butuh infonya terimakasih;NETRAL
Mau tanya dong min, kalau daftar mandiri itu ujiannya online atau offline ya min ?;NETRAL
halo min, izin bertanya. Untuk pelaksanaan ujian mandiri kapan ya?;NETRAL
Kak untuk pendaftaran jalur mandiri untuk S1 mulai kapan iya kak;NETRAL
Min,kemarin sy coba daftar SMBJM Minat Bakat, tapi nama sekolah saya ga ada di list. Solusinya gimana?;NETRAL
Jalur SMBJM bagaimana cara nya ya....;NETRAL
Sisa validasi data di smbjm minat dan bakat tapi udah terlambat ;NETRAL
Min, posting  info jurusan pendidikan seni kuliner dong... Butuh buat referensi . Terimakasih;NETRAL
Semoga lulus jalur sbmptn;NETRAL
Jalur alih jenjang tahun ini belum ada min?;NETRAL
Semoga lulus sbmptn;NETRAL
semoga lulus sbmptn kesini;NETRAL
Seni kuliner dong;NETRAL
Info pengawas LPTK PPG 2022;NETRAL
Haloo min, ijin bertanya apakah sudah dibuka pendaftaran PPG mandiri bagi yg bru lulus S1 PGSD ? Mohon infonya min terima kasih;NETRAL
Kak ada grup wa untuk camaba undiksa engga kak;NETRAL
warna merah warna cinta;NETRAL
Untuk SBMPTN seharusnya aku pilih undiksha di pilihan pertama tapi aku salah pencet;NETRAL
Warna merah warna cinta;NETRAL
Teman teman... kalian sudah pada melakukan pendaftaran ulang belum di undiksha. ..info donk;NETRAL
Selamat rekan perjuangaku sudah menjadi maba di Undiksha.;NETRAL
Selamat datang mahasiswa baru undiksha jalur SNMPTN Bagi mahasiswa baru yang berasal dari JABODETABEK, DM ya;NETRAL
selamat mahasiswa baru undikhsa Yang belum nemu kos bisa cek disini;NETRAL
Bismillah..FK UNDIKSHA SNMPTN 2022;NETRAL
Bismillah pendidikan ekonomii undikshaa snmptn 2022;NETRAL
Bismmilah pen seni rupa undiksha 2022 SNMPTN;NETRAL
Bismillahirrahmanirrahim pendidikan vokasi seni kuliner;NETRAL
Pendaftaran PPG kapan dibuka pak/bu ?;NETRAL
Jalur mandiri kapan dibuka pendaftaran nya min??;NETRAL
Halo kak, ijin bertanya PPG Mandiri Prodi PGSD apakah sudah dibuka kak? Terima kasih dan salam sehat;NETRAL
Ijin min... saya orang jawa, apakah disana ada mushola atau mesjid?;NETRAL
Bisa kipk untuk jalur ini ?;NETRAL
Pengumuman smbjm diliat dimana ya kak?;NETRAL
Kalo penjas nya udah ada ya min pendaftaranya?;NETRAL
Untuk strata 1 gak ada yah min segeralah launching min;NETRAL
Fakultas guru Matematika ada min?;NETRAL
Admin saya mau bertanya. Apakah Foto profil yang di upload saat pendaftaran SMBJM harus berlatar belakang putih dan harus memakai jas. Terimakasih;NETRAL
Halo kak. Mohon info PPG Mandiri Prodi PGSD kak;NETRAL
Yuk daftar di prodi Ilmu Hukum;NETRAL
Halo min, untuk Pascasarjana apakah bisa ambil kelas di Denpasar?;NETRAL
Catat waktunya, jangan sampai kelewatan;NETRAL
Bismillah jadi maba undiksha;NETRAL
Di Undiksha ada fakultas farmasi nya?;NETRAL
Halo min mau bertanya untuk pengisian nilai rapor pada SMBJM minat bakat itu untuk nilai kejuruan 1,2,3 itu mapel nya bebas tergantung kejuruannya?;NETRAL
halo min mau bertanya undiksha negeri atau swasta?;NETRAL
Ijin tanya min kalo angkatan 2019 bisa daftar ya min?;NETRAL
Izin bertanya kak apakah bisa lintas provinsi masuk undiksha?;NETRAL
Walaupun melalui jalaur SNMPTN apakah ada kemungkinan bisa diterima diundiksha?;NETRAL
Pendaftaran nya kan gratis kak..untuk uang gedung juga gratis kak?;NETRAL
Ada mushalanya gak undiksha...?;NETRAL
Kak kalau mau daftar snm diundiksa dari luar daerah bali ....peluangnya besar tidak kak;NETRAL
Untuk pendaftaran nya apakah online atau langsung kak ?;NETRAL
Semoga lulus sbmptn nanti;NETRAL
Mau nanya kalo yang mau ngulang okk karena gak lulus harus daftar lagi atau gimana nih min;NETRAL
Anak ipa mau nyari pgsd lewat jalur smbjm boleh ga kak?;NETRAL
Untuk syarat dan ketentuan saat pendaftaran ada ga kak ?;NETRAL
Kak di undiksha ada beasiswa KIP kuliah?;NETRAL
Malam kak mau nanya , undiksha yang di Denpasar ada jurusan sastra Inggris / tidak kak?;NETRAL
Halo, kak. Mau nanya untuk program alih kredit kira kapan buka ya, kak?;NETRAL
Selamat pagi kak, mohon izin bertanya untuk yang lulusan 2021 apakah bisa mendaftar SMBJM minat bakat ?;NETRAL
Kak ijin bertanya, untuk jurusan kebidanan apakah bisa lewat jalur snmptn ?;NETRAL
kak mau tanya, untuk jurusan kebidanannya pendaftaran bisa lewat jalur apa aja kak?;NETRAL
Kak mau tanya kalau masuk kuliah situ bayar nya  berapa kak;NETRAL
Halo kak kalau jalur Bidikmisi itu dimana caranya daftarnya kak ...tolong dijawab ;NETRAL
Ada banyak tempat wisata lho di Singaraja;NETRAL
Sore Kak, mau nanya, untuk cara mencari KIP Kuliahnya gimana caranya ya Kak ?;NETRAL
Selamat malam kak,,untuk biaya kuliah awal berapa ya kak?;NETRAL
Mohon maaf kak untuk program studi D3 perhotelan ikut smbjm utbk/ minat bakat?;NETRAL
Kak mau nanya di undiksa ada jurusan hukum gak?;NETRAL
Min mau bertanya ,untuk pendaftaran nya nanti apa aja yg perlu di bawa dan ketentuannya saat tes ?;NETRAL
Selamat malam kak , mohon maaf mengganggu aktivitas nya kak , ijin bertanya untuk jalur pendaftaran smbjm minat bakat itu gimana ya , mintak tolong di jelasin kak . Terimaksih.;NETRAL
Kak di undiksha ada jurusan bidang manajemen ga kak?;NETRAL
Kak mau tanya, untuk program studi Survei dan Pemetaan itu pendaftarannya melalui SMBJM ya kak?;NETRAL
Kak mau bertanya untuk biaya pendaftaran sbnmptn nya berapa ya kak ?;NETRAL
Halo kak, mau nanya, apakah FK di Undiksha UKT nya ditentukan? Apakah ada uang pangkalnya atau ngga ya?;NETRAL
Selamat malam kak, saya mau nanya, apa di undiksha ada jurusan keperawatan?;NETRAL
Mau tanya min di undiksha adu jurusan sejarah atau tidak?;NETRAL
Kak mau nanya di indiksa untuk program S2 nya ada jurusan ilmu ekonomi, atau administrasi gak kak? Dan untuk biaya per semesternya berapa ya;NETRAL
Kapan masuknya min, universitas lain dah pada masuk. Pak Nadiem Makarim juga sudah izinkan;NETRAL
Akuakultur min harus jadi fakultas kelautan dan perikanan.;NETRAL
Wah keren banget;NETRAL
semoga bumi cepat sembuh;NETRAL
Semangat berkarya;NETRAL
Webinar untuk mahasiswa ini ya?;NETRAL
Mohon ijin..ingin menanyakan perihal pengumuman kelulusannya katanya hari ini..tapi saya cek blm bisa...mohon petunjuk;NETRAL
Kenapa gak dari kemarin aja onlinenya kak;NETRAL
aku masi bngung siapa aja yg susulan, karna ak kan udh tes tp iseng download kartu peserta lagi, eh kok CBTku online tpi tgl 7, pdhl aku udh tes tgl 7 d sana lgsg;NETRAL
Please bagi cewe yang ketemuan di ome tv hari jumat tanggal 16 malam, ini gue cowo yang pake kacamata baju biru waktu itu. Lo ikut jurusan matematika, kalo lo baca ini please dm di akun ini;NETRAL
Assalamualaikum kak boleh nanya?  S2 sosiologi udah angkatan keberapa kak?;NETRAL
Pengumuman nya lewat apa ya kak?;NETRAL
Semoga lulus Amin;NETRAL
Pasti lulus aku yes;NETRAL
Untuk tes keterampilannya kapan nggih;NETRAL
Apakah sudah ada pengumumannya;NETRAL
Perlu hasil swab gak min?;NETRAL
tetep semangat;NETRAL
Bawa surat swab gak min?;NETRAL
Itu obatnya udah ada dipasar ya?;NETRAL
Selamat untuk kalian semua;NETRAL
Pagi min, pengumuman hasil pendaftaran pascasarjana gelombang 1 , dapat diakses dimana ya?;NETRAL
Harus ke Bali;NETRAL
Yang di luar bali gimana min?;NETRAL
tolong cek dm ya kakk,aku tunggu infonya;NETRAL
Ujiannya offline ya?;NETRAL
Selamat siang kak. Mau nanya, kalau seandainya ikut jalur SBMJM KIP kuliah, apakah tetap membayar uang pangkal?;NETRAL
Kalo pemegang KIP kuliah ttp bayar uang pangkal ya kak;NETRAL
Ujiannya secara online min? Soalnya bukan dari bali saya;NETRAL
Permisi, izin bertanya Untuk tahun ini kuliahnya apa akan diadakan secara offline atau online? Jika offline, apa ada suatu keharusan bagi para mahasiswa untuk membawa sertifikat vaksin? Karena banyak pro kontra di beberapa lingkungan keluarga mahasiswa yang tidak diizinkan untuk mengikuti vaksin karena alasan tertentu. Terimakasih;NETRAL
Selamat malam,mau nanya untuk daftar ulang yang lulus jalur SBMPTN bisa minta tolong kirimin linknya?;NETRAL
Maaf min mau tanya ujian keterampilan ini untuk semua prodi atau tidak??;NETRAL
Undiksha terima aku ya ;NETRAL
Min, tes mandirinya harus ke balikah?, bisakah tesnya dari Jawa.;NETRAL
Untuk program s2 nya apa aja ya?;NETRAL
Ditunggu kedatangannya;NETRAL
Selamat buat kalian yang diterima di undiksha, khusus untuk mahasiswa yang berasal dari JAKARTA BOGOR DEPOK TANGERANG BEKASI (JABODETABEK) Bisa dm ke akun ig;NETRAL
Daftar ulangnya gimana min?;NETRAL
Apakah masih ada jalur mandiri min?;NETRAL
Min mau tanya kalau daftar ulang kip k nunjukin sktm bisa tidak soalnya saya tidak punya kip?;NETRAL
Biar ga pusing nerjemahin tugas atau artikel jurnal, sini kami bantu Kak;NETRAL
Izin kan aku jadi mahasiswamu undiksha;NETRAL
Semoga lolos sbmptn dan bisa jadi mahasiswa baru di undiksha ,Astungkara ;NETRAL
Undiksha Terima aku jadi maba hukum tahun ini jalur SBMPTN ya;NETRAL
Semoga lolos sbmptn tahun ini Astungkara jadi maba tahun ini;NETRAL
Mau nanya untuk e-sertifikatnya udah dibagiin belum ya?;NETRAL
Undiksha jangan tolak aku ya;NETRAL
Untung lulus SNMPTN ;NETRAL
Kak mau tanya, ini untuk ukuran foto yang terkena capnya bebas kan? Yang penting berwarna dan terkena cap?;NETRAL
Berarti tidak harus putih hitam pakaiannya min????;NETRAL
Surat keterangan kelas nya harus kena cap ya fotonya? soalnya saya nyari Surat keterangan dijari surat tanda tangan sama cap gak isi foto;NETRAL
Luar biasa. Beliau juga sangat rajin membaca buku di perpustakaan FBS;NETRAL
Pendaftaran untuk kuliah diperguruan tinggi disana sudah ditutup ya....?;NETRAL
tunggu saya tahun depan yah;NETRAL
PGSD selalu jadi yang favorit;NETRAL
Bagus banyak banyakin PGSD;NETRAL
Teknik mesin memang sedikit ya kak;NETRAL
bismillah semoga keterima di jalur sbmptn;NETRAL
Siang Admin, saya mau tanya untuk pusat utbk di undiksha antriannya sudah habis ya? Bisa kita pilih di tempat lain?;NETRAL
Kak, mau minta info untuk pendaftaran sbm yang tertera di atas itu linknya ya?;NETRAL
Min mau tanya seleksi minat dan bakat  itu hanya utuk lulusan 2021 aja?;NETRAL
Min kalau S2 jurusan PGSD kapan bukanya ya?;NETRAL
Mohon informasi min terkait pembukaan pendaftaran PPG Prajabatan prodi PGSD di Undiksha tahun ini Terimakasih.;NETRAL
Min mohon info berapa biaya pendaftaran SNMPTN nya min, suksma;NETRAL
info dong min sudah angkatan keberapa ya?;NETRAL
Ayo bergabung di Jurusan Fisika dan Pengajaran IPA Undiksha... ;NETRAL
jurusan selain fisika dan fmipa tdk ada sosialisasi dan promosi kak ?;NETRAL
Kak saya mau daftar akun LTMPT tpi udah telat kak, gmana cara daftarnya?;NETRAL
PTM Undiksha! HANTAM;NETRAL
Kami menyediakan berbagai macam materi hukum mari belajar bersama ;NETRAL
Sudah ada pengumuman untuk yg dapet potongan ukt?;NETRAL
Permisi pak, saya mau bertanya untuk yang penerima beasiswa kipk, apakah bisa langsung mengisi KRS nya?;NETRAL
Permisi kak, Izin bertanya  Apabila baru bisa membayar UKT nya tgl 9 / 10, brrti untuk menyusun krs nya setelah bayar ukt atau sesuai jadwal ya? Dan apakah bisa pembayaran nya selain di teller bank BRI Singaraja? Soalnya masih di luar Bali kak. Mohon pencerahannya, terimakasih ??;NETRAL
Mohon maaf. Untuk yang mengajukan penurunan UKT bagaimana?. Apakah membayar terlebih dahulu UKT seperti biasa apa bagaimana?;NETRAL
Om Swastyastu  Apakah yg sudah sidang sebelum pembayaran ukt itu bayar pak?;NETRAL
Permisi bapak ibu, izin bertanya untuk pengumumam penundaan ukt kapan nggih? Suksma;NETRAL
Permisi mau tanya, untuk pengumuman yang dapat potonga ukt apakah sudah ada ?;NETRAL
Om swastyastu min, mohon maaf mengganggu waktunya, saya ijin bertanya. Terkait dengan pengumuman bagi mahasiswa yang menerima penyesuaian UKT itu kapan nggih min? Karena di jadwal yang saya lihat nike pengumumannya tanggal 29 januari tetapi sampai sekarang tanggal 2 februari belum ada pengumuman terkait hal tersebut. Sedangkan batas untuk pembayaran ukt ini sampai tanggal 5 februari. Mohon informasinya min Terimakasih.;NETRAL
Min untuk pembayaran ukt pascasarjana apakah sama waktu nya? ;NETRAL
Setelah sampai di siak, apa lagi yang perlu dilakukan nggih?;NETRAL
Mahasiswa semester 8, tidak dapat potongan ukt min ?;NETRAL
Izin bertanya, untuk pengumuman dari dapat atau tidaknya keringanan pembebasan penurunan kelompok dan penundaan pembayaran uang kuliah tunggal akibat orang tua mengalami kehilangan pekerjaan kapan nggih? Sedangkan pembayaran ukt untuk semester 2 sudah dimulai dari tanggal 25 januari hingga 5 februari. Sekian terimakasih;NETRAL
Nomer untuk pojok kiri atas bagian surat ke dekan bagaimana yaa ? Apakah dikosongkan atau bagaimana ?;NETRAL
