Comment;VALUE
Untuk nomor surat di surat permohonan yang ditujukan kepada dekan untuk penurunan UKT bagaimana kak ?;NETRAL
Maaf pak. Untuk pengajuan keringanan/penundaan ini apakah berlaku untuk semester 9 keatas pak nggih?;NETRAL
siang bapak, ibu admin. izin bertanya untuk penetapannya jam berapa nggih? ;NETRAL
Bapak, ibu maaf saya mau bertanya jika telah mengajukan keringanan seperti ini , apakah ada pengumuman resmi nya kembali atau kami tinggal ke bank untuk mengetahui kita mendapatkannya atau tidak makasih ;NETRAL
Bapak, ibu untuk pengumuman penundaan pembayaran UKTnya kapan ngih pak/bu?;NETRAL
Siang bapak ibu admin,izin bertanya untuk pengumunan yang mendapat penundaan ukt kapan nggih?;NETRAL
Malam min izin bertanya apakah sudah ada info tentang pengumuman permohonannya ?;NETRAL
Min, pengumuman yang mengajukan permohonan bantuan ukt ini, kapan ya min? Di web tertera harusnya tanggal 29 januari lalu penetapan, namun sampai sekarang saya belum melihat pengumumannya dimana;NETRAL
Selamat siang, izin bertanya. Setelah saya cek melalui BRI Mobile, tingkat UKT  memang sudah turun namun terdapat kesalahan pada keterangan Fakultas, saya dari FMIPA, namun yang tercantum adalah FIP PGSD. Bagaimana nggih terkait hal ini? saya jadi tidak berani untuk membayar UKTnya. Apakah ada yang kasusnya sama?. mohon informasinya;NETRAL
Terima kasih untuk ucapannya. Tuhan memberkati ;NETRAL
Undiksa terima aku sebagai maba mu di 2021;NETRAL
Sukses untuk acaranya ya;NETRAL
Acara yang telat di masa pandemi, harus kuat tangguh dan berkarakter;NETRAL
Salam dari Denis di bandung... untuk Guru Besar saya Prof Dr. I Wayan Lasmawan... semoga beliau sehat selalu;NETRAL
Dimana ngecek sudah valid atau belum ya?;NETRAL
Kapan ijasah di bagikan dan kapan wisudanya min?  Mohon di konfirmasi min;NETRAL
cuma bisa diikuti sama yang udah pernah daftar sebelumnya ya min?;NETRAL
Yg gak ikut smbjm sebelumnya boleh daftar gak kak?;NETRAL
Yg belum pernah ikut smbjm sebelumnya boleh daftar tidak min?;NETRAL
Jalur snmptn susulan ada nggak min?;NETRAL
Belum ada pemberitahuan paket 50 GB ya kk?;NETRAL
Terima kasih untuk infonya. Mohon maaf, kalau bisa, mohon nama-nama yg lulus di infokan dishare disini juga. Terima kasih ;NETRAL
Untuk peserta kip kuliah bagaimana pak bu???;NETRAL
besok pengumuman smbjm lewat apa iya,,,;NETRAL
Untuk pendaftaran kembalinya hanya unggah scan ijasah atau ada link yg lain kak?;NETRAL
Kalau udah bayar pembayaran UKT dan Ijazah gimana taunya kalo pendaftaran ulang selesai?;NETRAL
Persyaratan legalisir D3 itu apa;NETRAL
Ini baut lulusan D3 ya min?;NETRAL
Kartunya harus di cetak ya min? Apa boleh di simpan aja dulu?;NETRAL
Mau nanya kartunya cetak langsung atau boleh simpen dulu baru cetak?;NETRAL
Kak mau tanya untuk org tua yg tidak memiliki slip gaji bagaimana ya untuk unggahan slip gaji di pendaftara?;NETRAL
Yg jalur sbmptn tahapnya samai validasi kan min;NETRAL
Min mau nanya kenapa tidak bisa validasi pas pendaftarannya?;NETRAL
Cetak kartu dibagian mana ya?;NETRAL
Data Belom Ke Isi Sebagian Trus Waktunya Habiss Tapi Udah Bayar Ke Bank Uang Pendaftarannya Gimana Dongg;NETRAL
Tidak ada perpanjangan lagi ?;NETRAL
Sistem perkuliahannya masih daring ?;NETRAL
Selamat pagi, saya izin bertanya saya ingin melakukan pendaftaran undiksha tapi sekolah saya tidak ada di pilihan nama sekolah, itu bagaimana ya?;NETRAL
Kak apakah perkuliahan nya secara daring atau harus berangkat ke kampus?;NETRAL
ini semua untuk mahasiswa undiksa yang sudah kuliah kan ,ini gak ikut untuk mahasiswa baru,mohon bantuan;NETRAL
Iya min, informasi diatas td utk mahasiswa baru atau mahasiswa yg sudah kuliah;NETRAL
Astungkare semuanya cepat membaik dan kita semua bisa mengikuti kegiatan belajar seperti biasanya??;NETRAL
Min kok saya nggak masuk email untuk bantuan kuota untuk mahasiswa plpbd yaa;NETRAL
Ada yang dari Jawa Tengah dan sekitarnya ngga;NETRAL
Yang lulus jurusan akuntansi berkunpul dong, apakah ada grup khuuss untuk jurusan Akuntansi/Undiksha??;NETRAL
kak itu grupnya khusus yg lolos sbm apa semuanya dari snmptn sbmptn sama mandiri?;NETRAL
Akhirnya Lolos. Ada yang basindo ga?;NETRAL
Aku kurang beruntung;NETRAL
Ada yang ngambil Biologi gak? Aku dari Jatim;NETRAL
Min gimana caranya vefivikasi KIP yang dah lulus sbm?;NETRAL
Wah,ada yg penddidikn biologi ga?kalo ada kita sama;NETRAL
Udah ada yg ngisi form data ukt ga? Mulai nya baru tgl 17 kan?;NETRAL
Ada yang jurusan Matematika gak?;NETRAL
Puji Tuhan lulus,, ada yang ngambil pendidikan sosiologi?;NETRAL
Untuk nomor pendaftarannya bagaimana kak?? Mengapa nomor pendaftaran saya tidak terdaftar? Apa hanya bisa diakses mulai besok ya??;NETRAL
Nomor pendaftarannya nyari dimana ya min? Kok ga ada nomor pendafatran;NETRAL
Puji Tuhan lulus;NETRAL
Pak apa gak cari satpam ,lagi bebas tugas gara gara Covid hotel tutup;NETRAL
Kapan ya ada pengumuman wawancaranya ?;NETRAL
Min kenapa saat saya login akun E ganesha password nya selalu salah, padahal yg saya masukan benar. Mohon bantuannya;NETRAL
Untuk Kebijakan pengajuan keringanan UKT gimana nih ka yg dari luar Bali cara mengurus persyaratan yang mengharuskan mahasiswa kekampus? Contohnya memohon surat pernyataan yg menyatakan bahwa tdk menerima beasiswa/bantuan apapun dan surat penilaian kepribadian dari kaprodi?;NETRAL
mohon ijin bertanya untuk e sertifikat webminar ini apakah akan dikirim lewat email ya? Karena hingga saat ini saya belum menerimanya,;NETRAL
Min untuk yg jalur SNMPTN, di Nim nya tertera tanggal 10-15 Agustus akan diadakan OKK, dan disuruh mendownload apknya, pas saya coba gak bisa masuk, itu kenapa ya min? Sama apa ada info lanjutan untuk okk?;NETRAL
Halo min, saya dari luar Bali dan mau ikut SMBJM, berarti sy menggunakan nilai UTBK dan rapor ya? Dan pendaftarannya tetap sesuai jadwal ya, Min?;NETRAL
Semogaa jadi maba di kampus Undiksha;NETRAL
Min seleksi mandiri pendaftrannya memang dimundur sampe agustus ya?;NETRAL
Ini tes mandirinya langsung atau online min ???;NETRAL
Saya dari luar pulau bali pak ,kira nanti kalo ikut jalur mandiri langkahnya seperti apa.?;NETRAL
maaf kak, ujian jalur mandiri nya ke kampusnya langsung atau online ya? ;NETRAL
siang min, maaf saya mau nanya berarti untuk okk yang katanya tanggal 10-15 agustus, diundur ya? terimakasih;NETRAL
Min... Undiksha jalur mandiri ada Bidikmisi min? Kalo mau daftar mandiri ada panduan pendaftaran nya?;NETRAL
Kak, mau bertanya? Karena tidak melihat langsung ke lokasi, berarti nanti akan diarahkan lalu tempat duduk itu bebas atau seperti apa teknisnya dan untuk berkasnya apakah seperti yang diarahkan oleh ltmpt (diletakkan di meja dan petugas bakal mengecek)?, Mohon penjelasannya;NETRAL
Kak surat keterangan bebas influenza sama surat keterangan bebas covid sama atau tidak kak;NETRAL
Untuk informasi mandiri tidak ada perubahan min?;NETRAL
Kak apakah perlu bawa surat keterangan sehat untuk peserta utbk nya kak?;NETRAL
Min apakah ada ketentuan tambahan dari pihat pusat utbk di undiksha??;NETRAL
Mau tanya Kak, apa perlu membawa surat keterangan sehat saat test nanti? ;NETRAL
Selamat malam min mau nanya apakah di undiksha akan ada pendataan ulang berdasarkan keputusan baru utbk nya?;NETRAL
Mau nanya kak, apakah undiksha sebagai pusat utbk mewajibkan menggunakan face shield, sarung tangan, dan surat keterangan sehat?;NETRAL
Min izin bertanya, untuk e-certificate kuliah umum undiksha belum diberikan nggih? Sekian dan terimakasih.;NETRAL
Apa webinar dibuka untuk umum?;NETRAL
Kak admin mau nanya,  untuk yang sbmbjm jurusan Manajemen dan S1 Akuntansi ada atau tidak??;NETRAL
Profil teknik dan kejuruan dong;NETRAL
Mohon info kak, apakah ada jalur mandiri utk fk?;NETRAL
Buk susi mengundurkan diri, jadi mikir daftar perikanan;NETRAL
Hari Senin Berangkat jam 5 Pagi dari Badung, mampir di danau beratan liat Sunrise, Hari Jumat Pulkam Megrudugan  sejuta cerita banget UNDIKSHA & Singaraja pokoknya;NETRAL
Kak admin kalo di undiksha nerima lintas jurusan smk gak kak?;NETRAL
Kak itu undiksa ad yg didenpasar ya? Itu untuk prodi apa kak ya?;NETRAL
Apalah daya yang mahasiswa perantau...;NETRAL
Untuk Pascasarjana Prodi Akuntasi apakah sudah buka?;NETRAL
Selamat siang  Saya sebagai calon mahasiswa baru ingin bertanya Kan jadwal pengumuman UKT dan KIP Kuliah itu hari ini, kalau boleh tau jam berapa ya? Soalnya saya check tadi pagi dan siang pengumumannya belum ada;NETRAL
Min, aku menyesal tidak ambil sbmptn ku kemarin di undiksha, padahal lolos;NETRAL
Terima kasih min... lalu untuk mahasiswa yang tidak menggunakan kartu terkomsel bagaimana?;NETRAL
Berarti kuliah Onlinenya full 1 semester genap ini ya?;NETRAL
Saya berharap dengan adanya survei ini pihak undiksha bisa mengerti dan memfasilitasi mahasiswa nya seperti kuota internet, agar mahasiswa tidak mengeluh dan semangat dalam belajar;NETRAL
Saya harap ada kebijakan mengenai kuota udah itu aja;NETRAL
jangan berhenti sampai survey aja ya;NETRAL
Selamat bergabung calon mahasiswa Undiksha yang lolos jalur SNMPTN;NETRAL
Berkas-berkas yg harus disiapkan apa aja nih min;NETRAL
maba pendidikan olahraga mana ni suaranya;NETRAL
Semoga lancar;NETRAL
Mudah mudahan besok lolos SNMPTN biar gak usah utbk lagi amin;NETRAL
Om Swastyastu admin, mohon info untuk wisuda Maret yg diundur dan ijazah tolong disikapi bagaimana tindak lanjutnya.. sebagian dr teman saya yg akan melamar di sekolah sebagai guru terkendala ijazah.. tolong hal seperti ini jg diberikan informasi lebih lanjut.. wisudawan butuh kepastian;NETRAL
Mantap, so no koar hapus skripsi ya. Yuk bijak sekarang menanggapi hal semangat semua skripsi thesisnya;NETRAL
Semoga cepat kembali normal dan yg sedang nyusun skripsi bisa wisudaan;NETRAL
kasih info lebih lanjut kak kalok pendaftarannya udah di buka;NETRAL
Pakai pakaian keselamatan dong ;NETRAL
Tapi tadi saya ke tu fakultas untuk ngurus sesuatu, malah tutup, padahal lagi dekat deadline;NETRAL
Kenapa perpusnya tutup min?;NETRAL
Yudisium saya dulu;NETRAL
Ini semester 8 apa kabar;NETRAL
Astungkara cepet membaik semua;NETRAL
Astungkara diberikan jalan yg terbaik dan kesehatan selalu. Khususnya utk smt akhir yg belum ngajuin judul, belum UP, belum sidang skripsi;NETRAL
yudisium saya dulu bapak biar bisa cari kerja;NETRAL
Mohon bantu menelusuri,;NETRAL
Hanya alumni yg libur kuliah;NETRAL
Kalau memang bener mahasiswa, auto jadi mahasiswa abadi;NETRAL
Tangkap dan adili.....sudah membuat HOAX seperti himbauan Pemerintah...dan ini menjelekkan nama Pimpinan rektor dan Lembaga....semoga diketemukan;NETRAL
ngeliat dari tulisannya aja dah keliatan editannya ;NETRAL
Semoga berhasil dan diterima;NETRAL
Saya dari Universitas Bengkulu, dan nanti bakalan studyBanding di Undiksa ;NETRAL
Seru bgt tahun yg lalu aku juara 2 tim outboand and team building nya. Hmmm;NETRAL
Salut dengan Beliau niki;NETRAL
BENAR PAK! BERPIKIR, BERKATA & BERBUAT LAYAKNYA MAHASISWA!;NETRAL
Tunggu aku jadi maba 2020 UNDIKSHA;NETRAL
Tolong diawasi juga pelaksanaannya, jangan sampai diluar batas kewajaran apalagi ospek sampai jam 11-12 malem;NETRAL
Yg udh tau info tentang group untuk falkutas bahasa dan seni, tolong dm dong;NETRAL
Yang FTk pendidikan teknik informatika komen dong;NETRAL
Yg FTK pendidikan teknik informatika masuk group;NETRAL
Info tentang grub fakultas ekonomi, tolong dm;NETRAL
Smpe jam brpa batas pengumuman min?;NETRAL
Yang keterima fakultas kedokteran, dm aku ya, kumasukin ke grup;NETRAL
Maaf kak... Kalo pin yg di berikan pihak bank hilang, bagaimana solusinya ;NETRAL
Aku maunya lulus di jurusan pgsd malah lulus di ekonomi;NETRAL
UKT tertinggi untuk pendidikan Matematika berapa nggih bli?;NETRAL
selamat Menempuh Semester Baru;NETRAL
Kak untuk pengumuman Bidikmisi sbmnptnnya dan pengumuman jalur mandirinyaa tgl berapa kak?;NETRAL
Halo kenalan dong maba baru, aku lolos di manajemen;NETRAL
Yang lolos pendidikan teknik elektro jabodetabek dm aku dong;NETRAL
Akhirnya ada pencerahan;NETRAL
Akhirnya dapet ucapan selamat;NETRAL
Ada yang lolos kimia murni??;NETRAL
Ada yg lolos akuntansi?;NETRAL
Min, apakah PPL hanya di lakukan 1 kali di tanggal 4 atau tanggal 5 juga ya...;NETRAL
info buat ppl realnya dong min;NETRAL
Yang keterima kedokteran, kenalan yuk;NETRAL
Min pendaftaran kembali SBMPTN nya sudah di update blm? Soalnya PDF yg di download masih tahun 2018. Mohon dijawab min;NETRAL
Semoga berkah selalu untuk semua yang KKN ;NETRAL
Puji tuhan.... BK kapan re akreditasi kak;NETRAL
Semoga ilmu hukum menyusul;NETRAL
Semoga Pendidikan Sosiologi menyusul dan saya bisa cepat lulus,. Amin;NETRAL
Jam berapa mulai ya , pendaftaran jalur mandiri;NETRAL
Info link ujian mandiri dong min;NETRAL
Semoga aku lolos disini jurusan geografi Amin;NETRAL
Dimana ya kita bisa melihat Akreditasi masing masing Prodi? Terimakasih.;NETRAL
Min, mau tanya dimana bisa download sertifikat akreditasi kampus undiksha ya?;NETRAL
Semangat berjuang adik calon mahasiswa baru undiksha;NETRAL
Mungkin bisa sebagai tambahan informasi bagi siswa kita yang ikut utbk gelombang 1;NETRAL
Jadi keinget gimana terharunya dulu lolos snmptn 2 tahun yg lalu;NETRAL
Pengen kuliah di undiksha fakultas kedokteran tapi takut gak keterima waktu SBM;NETRAL
Kampus undiksha dimna tempat nya;NETRAL
Selamat sore, saya telah membayar ukt. Untuk validasinya bagaimana ya ? Apa sudah otomatis ?;NETRAL
Selamat Hari Natal Sodara ku Yang Merayakan. Tuhan Yesus Memberkati.;NETRAL
Mohon info beasiswa s2 min;NETRAL
Ini kesempatan untuk umum apa untuk alumni undiksa;NETRAL
Selamat buat para calon mahasiswa kedokteran Undiksha.. ;NETRAL
Wisuda terbanyak mungkin periode ini sampai 1700an;NETRAL
Semoga nasib yg sama juga dengan jurusan kami;NETRAL
uang pangkal nya berapa min?;NETRAL
Ada yg punya grup maba undiksha ga?;NETRAL
jurusan teknologi pendidikan di undiksha, apakah ada di Denpasar? karena undiksha  di denpasar jarak rumah dengan kampus cukup dekat.. mohon infonya;NETRAL
Min,  berapa siswa yg di terima lewat jalur mandiri?;NETRAL
Kak panduan Okk 2018 kapan Terbit?;NETRAL
Ada jurusan bimbingan konseling gak?;NETRAL
Disini ada yang dari jawa timur ngambil jurusan Pend bahasa dan sastra indonesia kah?;NETRAL
Lulus di sistem informasi undiksha;NETRAL
Kak kalo asrama mahasiswa cara daftar nya gimana ya?;NETRAL
Kesehatan Masyarakat termasuk Juga Di kedokteran  Min?;NETRAL
Semoga acaranya berjalan lancar;NETRAL
Maaf kak.... Belum ada info tentang undangan sosialisasi SNMPTN, SBMPTN dll? Makasih kak...;NETRAL
Portalnya eror terus;NEGATIF
maaf Admin untuk Brosurnya kalau ditampilkan di ig jadi terlalu kecil. Tingkat keterbacaannya kurang. Bagaimana kalau pada caption disediakan tautan link yang bisa mengarahkan langsung untuk download dokumen brosurnya atau Link yang mengarahkan menuju web undiksha terkait;NEGATIF
Wow. 100% tepat sasaran gak?;NEGATIF
Kenapa gak dari kemarin aja onlinenya kak;NEGATIF
Mau lihat pengumuman tapi eror, apa karena banyak yang akses ke sana?;NEGATIF
Pengemummannya berarti diundur lagi ya admin?;NEGATIF
Apa tidak ada test online? Saya tidak mengikuti test di hari itu dikarenakan ada pandemi dan bandara disini tutup, saya tidak bisa akses kesana;NEGATIF
Pak, Testnya Online dong pak, kasihan kita yang dari Luar Pulau Jawa dan bali tidk bisa berangkat karena PPKM + PPKM akan berlanjut hingga Akhir Juli;NEGATIF
Mohon diinformasikan apakah sudah ada pengumuman hasil testnya itu, ketinggalan sekali saya;NEGATIF
Test pas tgl 11 itu udah keluar hasilnya? Kok belum bisa lihat ya di website;NEGATIF
web nya error an;NEGATIF
Tulisan brosurnya tampak kecil sekali disini. Mungkin lain kali ketika mengunggah di feed instagram, informasinya bisa dipecah menjadi beberapa gambar/slide jd bisa swipe kesamping .;NEGATIF
Adminnya lama bngt ya respon pdahal ini informasi penting loh.. Jadi yg diluar bali offline atau online?;NEGATIF
Kuliah kuliah min udah 1 tahun online mulu tapi kegiatan di fakultas sama UKM offline mulu wkwkwk  ukt lancar ya bund;NEGATIF
Daring Gak gunaa;NEGATIF
Linknya tdk bisa diklik kak;NEGATIF
Ayo dong min, fakultas yang lain juga dibuatkan.bantu dibuatkan fakultas lain kadang TUnya pada gak melek teknologi jadi buta digital. Mari saling bahu membahu endorse almamater tercinta Contoh deh FMIPA/FBS/FOK kayaknya gak punya tim Desain dan commercials yg bagus deh colek ;NEGATIF
Permisi saya mau bertanya, untuk pengisian KRS semester genap udah bisa diisi?, Kok saya buka Siakng gak ada mata kuliah yang muncul Siakng nya, gimana solusinya pak?;NEGATIF
Distorsi banget si teksnya, malu-maluin deh;NEGATIF
Kok gakbisa login pake linknya..?;NEGATIF
Mohon maaf link nya eror di saya min;NEGATIF
"maaf nama"" yg lulus smbjm tolong di infokan iya kak,,,";NEGATIF
Mohon maaf kalo bisa nama2 yg lulus diinfokan;NEGATIF
admin link nya kok eror ya???;NEGATIF
Aduh gimana ni min kok masih gak bisa login ??;NEGATIF
Gimana nih min bantuan paket kuotanya kok belum terkirim juga sampe sekarang?;NEGATIF
Kak gambar nya kok kurang jelas ya;NEGATIF
E-sertifikat yg kemaren belum sampe2 lho min ;NEGATIF
Min saya bingung mau daftar nya;NEGATIF
Form pendaftaranya belum bisa diakses Min. Terima kasih;NEGATIF
Kok error situsnya min?;NEGATIF
Mahasiswa ingin UKT Gratis, bukan lomba tiktok. Shame on You.;NEGATIF
Kuota bantuan gak masuk masuk min;NEGATIF
halo min, mau nanya masalah bantuan kuota kok terasa kayak tersendat tidak sesuai jadwal ya, apa ada masalah atau gimana ya min? soalnya pas bulan awal telat beberapa hari dan bulan ini juga lebih lama, mungkin bisa bantu jawab ya, soalnya gatau mau ngadu kemana lagi;NEGATIF
Kuota sepertinya gak akan masuk tepat waktu ya, padahal bayar ukt ga boleh telat kalo gak kena denda;NEGATIF
KUOTA UNDIKSHA KELUARLAH ENGAU KU SUDAH TAK KUAT LAGI MENAHAN TANGIS DOMPETKU YANG SEMAKIN TERKIKIS UNTUK MEMBELI SEBUAH KERTAS YANG BERISIKAN KODE VOUCHER;NEGATIF
PAK KUOTANYA KOK GAK CAIR INI, UDAH TELAT;NEGATIF
Pak paket data undiksha kapan dikirim? Ga enak saya minta hospot tetangga;NEGATIF
PAK KUOTANYA KOK GAK CAIR INI, UDAH TELAT;NEGATIF
Kuotanya ngaret min, udah mau akhir bulan nih;NEGATIF
Seharusnya dalam pamflet tertera siapa saja akademisi undiksha yang akan membagikan pengetahuan dan pengalaman min.;NEGATIF
Knp link pendaftaran tdk bs diakses ya?;NEGATIF
Link pendaftarannya tidak bisa dibuka;NEGATIF
Mohon maaf, webnya tidak bisa d akses.;NEGATIF
Maaf pak , saya kok gak masuk ya kuota nya . Padahal sudah daftar pak dan berhasil tapi blm jg masuk pak;NEGATIF
Min, masalah subsidi kuota ke mahasiswa kok belum ada smpe sekarang ya? padahal ini udh tanggal 18 lo..;NEGATIF
Paket mana paket kok belum masuk min,, udh tanggal 16 ini min??;NEGATIF
Kuota nya mana pak?...kok saya belum dapat;NEGATIF
ini untuk tanggal pembagiannya kapan nggih? Karena tanggal yg telah ditentukan untuk memperbarui data sudah lewat;NEGATIF
Kok kuota bulan ini belum dikirim ya min ?;NEGATIF
kenapa kuota bulan mei belum dikirim ya. Validasi data terkahir tgl 17, tapi sampe sekarang gak ada masuk. Sebagai perbandingan, bulan sebelumnya tanggal 19 April diterima. Tpi bulan ini kenapa lama ya, seharusnya sekarang udh lebih tepat waktu.;NEGATIF
ijin bertanya, untuk bantuan kuota bulan Juni kenapa belum dikirim ya? Jika dilihat, bulan April tgl 19 April diterima. Lalu bulan lalu tanggal 24 Mei baru diterima. Dan bulan sekarang sampai saat ini belum juga diterima. Apalgi bulan ini tidak ada validasi data, seharusnya bisa lebih cepat. Dan suatu sistem jika dilakukan berulang kali seharusnya bisa lebih baik (jika kendala yg dihadapi bisa diperhatikan dan ditindaklanjuti). Mohon ini kan bantuannya utk bulan April, Mei, dan Juni, tapi manfaat yg diterima April, Juni, Juli. Kami bulan juli tidak ada melaksanakan UAS atau bahkan perkuliahan, bahkan lebih banyak sekarang di Bulan Juni. Mohon dg sangat utk bisa diperbaiki kedepannya, Salam Harmoni ??;NEGATIF
Kami kekurangan kuota pak, harus minta uang terus sama orang tua untuk beli kuota;NEGATIF
bagimana bagi kami yg orang tua kami bekerja di pariwisata, tidak dapat pengasilan untuk bisa membeli kuota yg cukup untuk internet, karena di sektor pariwisata sudah lumpuh bapak mohon ada kebijakan yg lebih baik,;NEGATIF
Mohon bantu kami fasilitas, kami tidak menggunakan AC kampus, kami tidak menggunakan ruangan kelas, dll. Semua dipindahkan dalam jaringan. Subsidikan kuota untuk kami mahasiswa mu, mahasiswa Undiksha tercinta.;NEGATIF
Saya rasa hal ini bukanlah sebuah keuntungan, melainkan hanya sisi positif / kelebihan saja. Memperoleh pengalaman baru dan tidak perlu ke kampus bukanlah sebuah keuntungan.;NEGATIF
semoga diberi keringan untuk mahasiswa pak, orang tua kini yang tidak bekerja dan hanya diam dirumah karena orang tua bekerja disektor pariwisata. Dan saya sebagai anak maupun mahasiswa tidak enak membebankan orang tua secara berlebihan lagi, serta untuk pemberian tugas lebih dipikirkan kedepannya. Karena pengumpulannya dan jumlahmya yang terbilang cukup menguras kuota, tenaga dan waktu pak. tak sedikit mahasiswa yang mengeluh karena stress dengan kondisi seperti ini;NEGATIF
Undiksha kapan kerjasama dengan pihak provider internet?  Jangan mau kalah dengan PTN/PTS yang lain ;NEGATIF
Udayana udah bagi-bagi kuota nih buat mahasiswa. Undiksha kapan ya?;NEGATIF
Tindak lanjuti yaa, jangan cuma di tampung aja aspirasi nya;NEGATIF
Mohon di realisasikan, jangan hanya sebatas survey dan kebijakan yg di keluarkan tanpa melihat dampak kedepannya.;NEGATIF
Wah parah ini;NEGATIF
Hebat mahasiswa Undiksa tingkatin lagi hoaxnya;NEGATIF
Kenapa sistemnya tidak bisa di akses?;NEGATIF
Takut dana pemerintah ga turun pak;NEGATIF
yakin ga surat itu sampai dan dihiraukan oleh pusat, nyatanya yg terjadi dilapangan Presiden dari UI menyampaikan bahwa mereka telah mengirim surat ke DPR lwat sekjen.. tapi apa ? DPR tidak tau, maka dri itu munculnya demontrasi. Terima kasih.;NEGATIF
yakin ga surat itu sampai dan dihiraukan oleh pusat, nyatanya yg terjadi dilapangan Presiden dari UI menyampaikan bahwa mereka telah mengirim surat ke DPR lwat sekjen.. tapi apa ? DPR tidak tau, maka dri itu munculnya demontrasi. Terima kasih.;NEGATIF
Halaman web buat download formulirnya kurang jelas min;NEGATIF
Kak kok aksesnya lambatt min;NEGATIF
Eror min;NEGATIF
Eror min;NEGATIF
Eror min;NEGATIF
Error terus min;NEGATIF
eror terus;NEGATIF
Min saya sdh akses beberapa kali kenapa belum bisa ya?;NEGATIF
Eror terus ni;NEGATIF
Kok belom bisa di bukak min webnya?;NEGATIF
Kok gak bisa di buka ya min??;NEGATIF
servernya lagi penuh ya ko dibuka ngga bisa?;NEGATIF
Kok gk bisa di akses lagi min;NEGATIF
ini kak adminnya kemana ya kok pertanyaan gak ada yg jawab?;NEGATIF
Min, ilustrasi nya itu agak kurang tepat. Itu yg mimin pake ilustrasi jumat Agung.;NEGATIF
saya sudah bukak.link nya. kok di suruh masukin email. padahal di pentunjuk di suruh masukin user name sama pasword aja.  mohon bantuan nya. krna sya berulang kali mencoba tidak mau tetep di suruh masukin email;NEGATIF
Kenapa ya setiap saya login server penuh terus,, solusinya gimana??;NEGATIF
Min tau gak,kapan saya bisa verifikasi lagi soalnya eror. Servernya min;NEGATIF
Masih belum bisa finalisasi min;NEGATIF
Dari sekian ribu mahasiswa yg bisa menempuh pendidikan diluar hanya 2 saja. Semoga nanti bisa kirim tiap semester minimal 500 mahasiswa ke luar negeri;NEGATIF
Nggak ada respon sama sekali dari admin?;NEGATIF
Selamat malam.  Maaf sebelumnya saya mau bertanya, ketika dibuka halamannya ditulis connection timed out.  Bagaimana mau lihat hasil ukt nya.  Terima kasih;NEGATIF
Mahal amat uktnya;NEGATIF
Besar sekali ukt ku dari 3.6 juta paling besar cuma dipotong 50k jadi 3.5,5jt jadi mikir ulang ukt segitu plus biaya hidup plus kostan;NEGATIF
servernya error ya?;NEGATIF
Min aku kan ngisi data yg daftar kembali itu, tapi pas di simpan kok error terus ya;NEGATIF
Admin mau tanya nih kenapa saya tidak bisa login ya untuk kolom calon mahasiswa baru?? Padahal saya sudah memasukan nomor peserta dan tanggal lahir yg benar;NEGATIF
Kak  link nya tidak jelas di gambar kak;NEGATIF
Jurusan saya masih belum ada akreditasi, jadinya rumah yang besar berlapis emas dengan kamar berlapis tanah, saran saya untuk Undiksha kedepannya semoga sistem pendidikan maupun non pendidikannya semakin simple dengan berlandaskan teknologi tanpa meninggalkan budaya yang ada!;NEGATIF
